x,y,z,a,h,g
0,0,0,0,1.04,1.04
5000000000000001e-20,0,-8660254037844386e-20,7000000000000001e-20,1.04,1.04
.00010000000000000002,0,-.00017320508075688773,.00010999999999999999,1.04,1.04
.00015000000000000004,0,-.00025980762113533157,138e-6,1.04,1.04
.00020000000000000004,0,-.00034641016151377546,147e-6,1.04,1.04
.0002500000000000001,0,-.00043301270189221935,15e-5,1.04,1.04
.0003000000000000001,0,-.0005196152422706631,147e-6,1.04,1.04
.0003500000000000001,0,-.000606217782649107,138e-6,1.04,1.04
.0004000000000000001,0,-.0006928203230275509,12e-5,1.04,1.04
.00045000000000000004,0,-.0007794228634059947,8e-5,1.04,1.04
.0005000000000000002,0,-.0008660254037844387,0,1.04,1.04
