x,y,z,a,h,g
0,0,0,0,1.0279,1.0357
0.0000833,0,0,0.0000667,1.04,1.04
0.0001666,0,0,0.000075,1.04,1.04
0.0002499,0,0,0.0000833,1.04,1.04
0.0003332,0,0,0.0001,1.04,1.04
0.0004165,0,0,0.0001042,1.04,1.04
0.0004998,0,0,0.0001083,1.04,1.04
0.0005831,0,0,0.0000917,1.04,1.04
0.0006664,0,0,0.0000833,1.04,1.04
0.0007497,0,0,0.0000417,1.04,1.04
0.000833,0,0,0.000025,1.04,1.04
0.0009163,0,0,0.00002083,1.04,1.04
0.001,0,0,0.00000833,1.04,1.04
