x,y,z,a,h,g
0,0,0,-.0003429193910223034,1.04,1.04
7142857142857143e-20,0,0,-.00018995077993171913,1.04,1.04
.00014285714285714287,0,0,-17628367664410366e-21,1.04,1.04
.00021428571428571427,0,0,.00015649017264706785,1.04,1.04
.00028571428571428574,0,0,.00031466416306719336,1.04,1.04
.00035714285714285714,0,0,.00044077749202737614,1.04,1.04
.00042857142857142855,0,0,.0005219806608558678,1.04,1.04
5e-4,0,0,55e-5,1.04,1.04
.0005714285714285715,0,0,.0005219806608558678,1.04,1.04
.0006428571428571428,0,0,.00044077749202737614,1.04,1.04
.0007142857142857143,0,0,.00031466416306719336,1.04,1.04
.0007857142857142857,0,0,.00015649017264706785,1.04,1.04
.0008571428571428571,0,0,-17628367664410366e-21,1.04,1.04
.0009285714285714286,0,0,-.00018995077993171913,1.04,1.04
.001,0,0,-.0003429193910223034,1.04,1.04
