x,y,z,a,g,h
0,0,0,0,1.04,1.04
0.00005,0,0,0.00015,1.04,1.04
0.0001,0,0,0.0002125,1.04,1.04
0.00015,0,0,0.00024,1.04,1.04
0.0002,0,0,0.0002375,1.04,1.04
0.00025,0,0,0.0002125,1.04,1.04
0.0003,0,0,0.0001875,1.04,1.04
0.00035,0,0,0.0001575,1.04,1.04
0.0004,0,0,0.00012,1.04,1.04
0.00045,0,0,0.000075,1.04,1.04
0.0005,0,0,0,1.04,1.04
