1,0,2290
2,11,91
3,23,77
4,25,14
5,26,80
6,41,110
7,46,154
8,68,112
9,72,274
10,84,51
11,88,643
12,105,57
13,111,36
14,114,126
15,126,963
16,141,210
17,151,180
18,210,115
19,245,483
20,284,727
21,290,729
22,294,236
23,298,62
24,361,42
25,385,42
26,407,13
27,425,140
28,426,200
29,436,868
30,460,76
31,482,215
32,571,216
33,571,216
34,666,117
35,668,72
36,696,390
37,700,32
38,801,140
39,909,33
40,1060,250
41,1123,87
42,1139,189
43,1275,273
44,1288,29
45,1381,74
46,1383,28
47,1392,242
48,1413,4
49,1454,76
50,1487,128
51,1515,55
52,1534,13
53,1547,35
54,1557,41
55,1568,668
56,1569,66
57,1569,157
58,1572,57
59,1576,56
60,1582,137
61,1604,78
62,1605,11
63,1607,68
64,1614,6
65,1622,57
66,1627,244
67,1635,307
68,1636,40
69,1649,12
70,1650,122
71,1651,323
72,1656,106
73,1673,35
74,1674,61
75,1682,153
76,1682,37
77,1688,92
78,1693,56
79,1704,208
80,1710,461
81,1711,92
82,1730,799
83,1738,650
84,1740,183
85,1749,937
86,1750,36
87,1755,8
88,1777,692
89,1780,81
90,1781,125
91,1785,65
92,1787,25
93,1792,84
94,1793,386
95,1794,295
96,1800,173
97,1801,340
98,1808,282
99,1815,29
100,1818,590
101,1822,104
102,1822,159
103,1824,69
104,1826,689
105,1832,113
106,1832,659
107,1833,186
108,1839,31
109,1843,73
110,1844,325
111,1846,62
112,1846,172
113,1848,1143
114,1851,22
115,1856,55
116,1857,255
117,1861,496
118,1863,65
119,1865,30
120,1865,570
121,1865,212
122,1868,9
123,1870,107
124,1880,41
125,1883,11
126,1891,29
127,1892,59
128,1898,33
129,1901,22
130,1903,22
131,1903,127
132,1904,63
133,1910,337
134,1911,423
135,1917,178
136,1921,63
137,1921,354
138,1922,30
139,1923,207
140,1924,117
141,1929,99
142,1931,312
143,1931,46
144,1936,257
145,1937,50
146,1938,63
147,1939,131
148,1940,27
149,1942,124
150,1942,353
151,1943,213
152,1946,122
153,1947,77
154,1949,257
155,1949,101
156,1958,108
157,1959,107
158,1961,61
159,1961,14
160,1964,99
161,1968,11
162,1973,516
163,1974,55
164,1980,51
165,1981,112
166,1982,251
167,1983,78
168,1985,242
169,1985,48
170,1986,89
171,1989,114
172,1989,135
173,1993,345
174,1995,74
175,1996,240
176,1996,513
177,1996,156
178,1997,318
179,2001,60
180,2001,95
181,2002,82
182,2002,20
183,2002,421
184,2006,113
